date,gainers,losers,unchanged,total_listed,total_traded
2024-01-02,20,28,3,51,51
2024-01-03,9,38,3,50,50
2024-01-04,28,17,4,49,49
2024-01-07,30,17,3,50,50
2024-01-08,24,23,3,50,50
2024-01-09,15,32,3,50,50
2024-01-10,19,26,3,48,48
2024-01-11,26,22,2,50,50
2024-01-14,20,22,7,49,49
2024-01-15,21,26,3,50,50
2024-01-16,12,34,4,50,50
2024-01-17,13,36,2,51,51
2024-01-18,14,33,3,50,50
2024-01-21,15,27,6,48,48
2024-01-22,17,29,2,48,48
2024-01-23,18,26,6,50,50
2024-01-24,23,21,4,48,48
2024-01-25,21,24,4,49,49
2024-01-28,19,24,5,48,48
2024-01-29,5,42,3,50,50
2024-01-30,21,22,8,51,51
2024-01-31,14,29,6,49,49
2024-02-01,12,33,6,51,51
2024-02-04,8,36,6,50,50
2024-02-05,4,39,7,50,50
2024-02-06,26,22,3,51,51
2024-02-07,28,18,4,50,50
2024-02-08,19,28,2,49,49
2024-02-11,21,29,1,51,51
2024-02-12,20,28,0,48,48
2024-02-14,36,13,0,49,49
2024-02-15,22,27,2,51,51
2024-02-18,41,8,2,51,51
2024-02-19,30,17,4,51,51
2024-02-20,19,30,2,51,51
2024-02-21,26,25,0,51,51
2024-02-22,20,29,1,50,50
2024-02-25,26,23,2,51,51
2024-02-26,20,29,2,51,51
2024-02-27,35,13,3,51,51
2024-02-28,28,20,2,50,50
2024-02-29,21,30,0,51,51
2024-03-04,32,19,1,52,52
2024-03-05,10,37,4,51,51
2024-03-06,12,35,3,50,50
2024-03-07,25,22,5,52,52
2024-03-10,25,24,3,52,52
2024-03-11,18,28,5,51,51
2024-03-12,21,26,1,48,48
2024-03-13,29,17,6,52,52
2024-03-14,19,26,3,48,48
2024-03-17,22,22,6,50,50
2024-03-18,21,23,8,52,52
2024-03-19,19,25,6,50,50
2024-03-20,18,29,2,49,49
2024-03-21,30,18,2,50,50
2024-03-24,20,27,3,50,50
2024-03-25,3,42,2,47,47
2024-03-26,15,32,3,50,50
2024-03-27,15,31,5,51,51
2024-03-28,23,23,4,50,50
2024-03-31,14,34,3,51,51
2024-04-01,32,17,1,50,50
2024-04-02,26,19,4,49,49
2024-04-03,11,36,5,52,52
2024-04-04,36,9,6,51,51
2024-04-07,37,11,1,49,49
2024-04-08,23,23,2,48,48
2024-04-14,8,39,4,51,51
2024-04-15,40,7,4,51,51
2024-04-16,13,35,2,50,50
2024-04-17,25,20,5,50,50
2024-04-18,21,25,4,50,50
2024-04-21,19,28,2,49,49
2024-04-22,10,36,5,51,51
2024-04-23,24,19,6,49,49
