date,foreign_buy,foreign_sell,foreign_net,domestic_buy,domestic_sell,domestic_net
2024-01-02,237009455.138,219319768.81199998,17689686.326000035,339235184.915,356924871.241,-17689686.325999975
2024-01-03,225951218.49899998,268166380.463,-42215161.96400002,369946326.302,327731164.33800006,42215161.96399993
2024-01-04,187555966.919,185448434.90699998,2107532.0120000243,263635248.98899996,265742781.00100002,-2107532.012000054
2024-01-07,100551717.377,101817781.487,-1266064.1099999994,278284692.40400004,277018628.294,1266064.1100000143
2024-01-08,184920631.488,176235442.04,8685189.448000014,216943198.751,225628388.199,-8685189.448000014
2024-01-09,143269539.202,161457191.861,-18187652.65900001,236430576.331,218242923.672,18187652.65900001
2024-01-10,143633044.24,138302461.184,5330583.056000024,236999319.26500002,242329902.321,-5330583.055999994
2024-01-11,191505376.16899997,196572080.787,-5066704.6180000305,259894092.78699997,254827388.169,5066704.617999971
2024-01-14,71881428.446,82479097.053,-10597668.607000008,300522344.319,289924675.712,10597668.606999993
2024-01-15,151572813.907,148848765.683,2724048.224000007,325484613.65,328208661.874,-2724048.2240000367
2024-01-16,172410410.98900002,201416937.963,-29006526.973999977,276761808.86399996,247755281.89,29006526.973999977
2024-01-17,202447414.572,230953375.672,-28505961.099999994,273169962.096,244664000.996,28505961.100000024
2024-01-18,315947522.092,372207765.514,-56260243.42199999,846040452.0209999,789780208.599,56260243.42199993
2024-01-21,95470550.649,113293700.652,-17823150.00299999,578978066.564,561154916.561,17823150.00300002
2024-01-22,222117623.08800003,191257345.927,30860277.161000043,809654491.038,840514768.1990001,-30860277.161000133
2024-01-23,187926974.26,176838989.15399998,11087985.106000006,280053616.64,291141601.746,-11087985.106000006
2024-01-24,212545094.55,204682825.83400002,7862268.715999991,375871862.406,383734131.122,-7862268.715999961
2024-01-25,156590296.662,154026921.75199997,2563374.910000026,282727487.146,285290862.056,-2563374.9099999666
2024-01-28,61528570.567,61995206.184,-466635.6169999987,237904011.23099998,237437375.614,466635.6169999838
2024-01-29,139599342.946,178599434.658,-39000091.71199998,320318106.165,281318014.453,39000091.71200001
2024-01-30,185359590.539,203223220.329,-17863629.78999999,297424165.301,279560535.51100004,17863629.78999996
2024-01-31,204754722.90699998,205839361.55200002,-1084638.6450000405,310773755.588,309689116.94299996,1084638.6450000405
2024-02-01,155747914.962,154370556.31599998,1377358.6460000277,267884128.20200002,269261486.848,-1377358.645999968
2024-02-04,88732768.757,67040264.714,21692504.042999998,192581713.303,214274217.34600002,-21692504.043000013
2024-02-05,179617174.837,183789156.08200002,-4171981.245000005,218125569.65,213953588.405,4171981.245000005
2024-02-06,144012279.843,138723723.14200002,5288556.700999975,185889111.712,191177668.41300002,-5288556.701000005
2024-02-07,197903042.882,199949895.168,-2046852.2860000134,290766248.98,288719396.69399995,2046852.286000073
2024-02-08,169930170.88200003,164815049.95700002,5115120.925000012,284127284.49799997,289242405.423,-5115120.925000012
2024-02-11,93182855.70199999,109110068.926,-15927213.224000007,247979826.781,232052613.557,15927213.223999977
2024-02-12,222815788.96400002,181073488.263,41742300.701000005,374737330.157,416479630.858,-41742300.700999975
2024-02-14,222853502.959,188473732.986,34379769.97299999,330459241.44299996,364839011.41599995,-34379769.97299999
2024-02-15,197098992.14499998,214404135.473,-17305143.32800001,378754239.055,361449095.727,17305143.32800001
2024-02-18,131000024.95699999,130893943.29999998,106081.65700000525,323527519.08599997,323633600.743,-106081.65700000525
2024-02-19,225264532.13199997,189501185.04500002,35763347.08699995,376323300.222,412086647.309,-35763347.08700001
2024-02-20,178356226.343,154727152.437,23629073.90599999,303903891.685,327532965.59099996,-23629073.90599996
2024-02-21,172873963.118,153913772.494,18960190.624000013,280763746.056,299723936.67999995,-18960190.623999953
2024-02-22,166062948.12,163162855.768,2900092.351999998,349353089.27,352253181.622,-2900092.351999998
2024-02-25,188139586.491,188681745.178,-542158.6870000064,557623323.9310001,557081165.244,542158.6870001554
2024-02-26,198886898.655,181490142.55400002,17396756.10099998,421819974.38299996,439216730.484,-17396756.10100007
2024-02-27,214395249.862,173598073.157,40797176.70499998,502533018.384,543330195.089,-40797176.70499998
2024-02-28,153552289.75700003,156005611.57,-2453321.8129999638,473900657.468,471447335.655,2453321.8130000234
2024-02-29,731205675.293,669324815.707,61880859.585999966,447835337.879,509716197.46500003,-61880859.586000025
2024-03-04,148266886.57500002,155451111.64,-7184225.064999968,398362132.203,391177907.138,7184225.064999998
2024-03-05,151353669.926,162578678.333,-11225008.407000005,393329281.735,382104273.328,11225008.407000005
2024-03-06,111356463.196,153666503.003,-42310039.807,369381510.61399996,327071470.807,42310039.80699998
2024-03-07,160107809.594,141677820.644,18429988.950000018,279213990.47999996,297643979.43,-18429988.950000048
2024-03-10,106517176.874,83398813.391,23118363.482999995,260874290.219,283992653.702,-23118363.48300001
2024-03-11,143805102.273,128794172.014,15010930.259000003,244436034.86799997,259446965.12699997,-15010930.259000003
2024-03-12,128275178.508,112758412.063,15516766.445000008,256528884.54700002,272045650.992,-15516766.444999963
2024-03-13,169121650.739,160820785.234,8300865.504999995,262954169.888,271255035.39299995,-8300865.504999936
2024-03-14,894350570.45,809551410.0289999,84799160.42100012,338656642.271,423455802.69200003,-84799160.421
2024-03-17,94663908.73,88408294.65599999,6255614.074000016,237679889.78400004,243935503.858,-6255614.073999971
2024-03-18,129868081.16999999,122231060.475,7637020.694999993,365837071.259,373474091.95400006,-7637020.695000052
2024-03-19,141472013.17,127626276.641,13845736.528999984,288653751.361,302499487.89,-13845736.528999984
2024-03-20,115859034.498,106856615.502,9002418.995999992,225711178.15500003,234713597.151,-9002418.995999962
2024-03-21,121761499.141,118948791.52399999,2812707.6170000136,265155410.042,267968117.65900004,-2812707.6170000434
2024-03-24,72881371.977,44563884.473000005,28317487.503999993,202376584.533,230694072.037,-28317487.504000008
2024-03-25,140294174.331,159894289.53300002,-19600115.202000022,321422004.983,301821889.781,19600115.201999962
2024-03-26,135458096.825,121185875.049,14272221.775999993,449211171.916,463483393.692,-14272221.775999963
2024-03-27,191091194.63700002,197349569.63199997,-6258374.994999945,237256190.153,230997815.158,6258374.995000005
2024-03-28,147860288.98499998,145768146.946,2092142.0389999747,320503287.191,322595429.23,-2092142.0390000343
2024-03-31,50796212.515,59676554.84899999,-8880342.333999991,250276588.579,241396246.24499997,8880342.334000021
2024-04-01,102524828.262,118985277.312,-16460449.050000012,443467352.70100003,427006903.651,16460449.050000012
2024-04-02,134829414.642,162770338.395,-27940923.75300002,282879153.014,254938229.261,27940923.75299999
2024-04-03,189433023.48299998,228197398.797,-38764375.31400001,303836509.306,265072133.99199998,38764375.31400001
2024-04-04,212835279.243,156359252.621,56476026.62200001,336335340.695,392811367.317,-56476026.62199998
2024-04-07,80464628.993,68359484.97600001,12105144.01699999,226038633.233,238143777.25,-12105144.01699999
2024-04-08,79906286.997,79669060.279,237226.71799999475,235483457.681,235720684.399,-237226.71799999475
2024-04-14,92571429.402,108828371.955,-16256942.553000003,231942975.684,215686033.131,16256942.552999973
2024-04-15,281270954.305,261996002.298,19274952.007,371754286.809,391029238.816,-19274952.00699997
2024-04-16,176901138.322,180200342.93400002,-3299204.6120000184,315490999.71400005,312191795.102,3299204.612000048
2024-04-17,149050956.50599998,141335887.477,7715069.028999984,216146743.589,223861812.618,-7715069.029000014
2024-04-18,199163338.23700002,196323407.726,2839930.5110000074,314233543.412,317073473.92300004,-2839930.511000037
2024-04-21,76800890.122,74161296.07699999,2639594.045000002,281010556.19299996,283650150.238,-2639594.0450000167
2024-04-22,164463738.553,171452981.546,-6989242.993000001,314539554.061,307550311.068,6989242.992999971
2024-04-23,129902071.323,154445883.662,-24543812.339,295696097.161,271152284.822,24543812.338999987
2024-04-24,159760173.91599998,238983848.321,-79223674.40500003,427647302.015,348423627.61,79223674.40499997
2024-04-25,154134678.68,180703673.896,-26568995.21599999,277488499.722,250919504.50599998,26568995.21600002
2024-04-28,80055952.57699999,74425004.76099999,5630947.816,147370897.245,153001845.06100002,-5630947.816000015
2024-04-29,171382892.03300002,172140917.125,-758025.0919999778,246847039.83599997,246089014.74400002,758025.091999948
2024-04-30,230765111.831,224516043.26600003,6249068.564999968,306659241.617,312908310.18200004,-6249068.565000057
2024-05-01,145035300.434,128915086.268,16120214.165999979,333137005.396,349257219.562,-16120214.165999949
2024-05-02,159225767.163,143982205.782,15243561.380999982,336316691.12299997,351560252.504,-15243561.381000042
2024-05-05,111865013.778,81507055.888,30357957.89,309325418.46500003,339683376.355,-30357957.889999986
2024-05-06,132609733.64,148528963.57299998,-15919229.932999983,340623107.323,324703877.39,15919229.933000028
2024-05-07,148298125.052,177461721.80499998,-29163596.75299999,329528905.31299996,300365308.56000006,29163596.7529999
2024-05-08,285482275.644,291926659.309,-6444383.665000021,400684512.65300006,394240128.988,6444383.665000081
2024-05-09,210047375.24799997,233184818.08099997,-23137442.833000004,404985345.01800007,381847902.185,23137442.833000064
2024-05-12,109571056.468,99143211.163,10427845.304999992,259400509.475,269828354.78000003,-10427845.305000037
2024-05-13,146245814.304,169193537.98499998,-22947723.680999994,351180426.91800004,328232703.237,22947723.681000054
2024-05-14,124783570.73499998,150631088.51599997,-25847517.78099999,352050668.045,326203150.26400006,25847517.78099996
2024-05-15,173513455.94099998,193685237.22200003,-20171781.281000048,388925348.31299996,368753567.032,20171781.28099996
2024-05-16,193426053.21899998,154296701.63300002,39129351.585999966,285695886.86300004,324825238.44899994,-39129351.585999906
2024-05-19,88580155.64999999,88334663.23499998,245492.41500000656,271132696.91899997,271378189.334,-245492.41500002146
2024-05-20,161193985.314,188816865.664,-27622880.349999994,359211435.643,331588555.293,27622880.350000024
2024-05-21,171528039.01999998,226407214.397,-54879175.377000034,357096377.816,302217202.43899995,54879175.377000034
2024-05-22,193297062.546,201344165.888,-8047103.342000008,330369118.22400004,322322014.882,8047103.342000008
2024-05-23,147992045.305,200698281.74299997,-52706236.437999964,297447746.21,244741509.77199998,52706236.43799999
2024-05-26,88112173.134,113194920.786,-25082747.651999995,264362303.36300004,239279555.711,25082747.65200004
2024-05-27,136866293.79799998,198891713.595,-62025419.79700002,309039468.327,247014048.53,62025419.79700002
2024-05-28,143226054.348,207748769.629,-64522715.28100002,254886158.63399997,190363443.35300002,64522715.28099996
2024-05-29,162920523.835,246638456.822,-83717932.98699999,334355165.88199997,250637232.89500004,83717932.98699993
2024-05-30,906694923.691,1068374673.969,-161679750.278,523438577.385,361758827.107,161679750.278
2024-06-02,114413369.722,120766385.354,-6353015.631999999,238715364.27500004,232362348.643,6353015.632000029
2024-06-03,110549963.62099999,205110847.564,-94560883.94300002,320708664.68799996,226147780.74499997,94560883.94299999
2024-06-04,118044287.70300001,180719760.45400003,-62675472.75100002,372183147.201,309507674.45000005,62675472.75099993
2024-06-05,128361243.745,225922198.074,-97560954.329,374667987.189,277107032.85999995,97560954.32900006
2024-06-06,96167582.27700001,188690809.868,-92523227.59099999,327545015.69799995,235021788.107,92523227.59099996
2024-06-09,79760545.06,91009976.066,-11249431.005999997,307278286.476,296028855.47,11249431.005999982
2024-06-10,115068604.567,148037749.98299998,-32969145.41599998,278242654.856,245273509.44000003,32969145.41599998
2024-06-11,133205547.481,147513760.55200002,-14308213.07100001,275357753.147,261049540.076,14308213.07100001
2024-06-12,153514030.013,220641238.519,-67127208.50599998,385179521.649,318052313.143,67127208.50599998
2024-06-13,150041803.86,237118636.72500002,-87076832.86500001,349231358.69,262154525.825,87076832.86500001
2024-06-19,113274691.52299999,149444255.49199998,-36169563.969,199420297.493,163250733.524,36169563.96900001
2024-06-20,377053944.603,545831556.0630001,-168777611.4600001,390832406.87000006,222054795.41000003,168777611.46000004
2024-06-23,84963957.279,120362657.849,-35398700.57000001,274498160.46999997,239099459.89999998,35398700.56999999
2024-06-24,166484567.58200002,179386078.323,-12901510.740999997,228249018.008,215347507.267,12901510.740999997
2024-06-25,171519383.79000002,170661888.647,857495.1430000067,256274850.194,257132345.337,-857495.1430000067
2024-06-26,214588712.932,259830651.66500002,-45241938.73300001,289347915.094,244105976.36100003,45241938.73299995
2024-06-27,235734927.495,215089833.126,20645094.369000018,277073444.57100004,297718538.94,-20645094.368999958
2024-06-30,71595824.623,93364241.687,-21768417.06400001,231645337.929,209876920.86499998,21768417.06400001
2024-07-01,168191237.174,179915600.297,-11724363.122999996,236250830.993,224526467.87000003,11724363.122999966
2024-07-02,147335696.717,172075061.581,-24739364.863999993,266110634.817,241371269.95299998,24739364.864000022
2024-07-03,115578430.718,126515613.852,-10937183.134000003,235873127.333,224935944.199,10937183.134000003
2024-07-04,188116223.421,207059995.959,-18943772.537999988,240937104.79700002,221993332.259,18943772.538000017
2024-07-07,95697061.413,99246767.437,-3549706.024000004,214828974.88900003,211279268.865,3549706.024000019
2024-07-08,204086477.833,218419470.385,-14332992.551999986,257673825.129,243340832.577,14332992.552000016
2024-07-09,153639310.778,150531270.082,3108040.69600001,214038830.80400002,217146871.5,-3108040.69599998
2024-07-10,193776747.68699998,237458754.486,-43682006.799000025,317562541.367,273880534.56799996,43682006.799000025
2024-07-11,201267354.954,180658602.182,20608752.771999985,231650792.272,252259545.044,-20608752.771999985
2024-07-14,95182403.635,77037737.703,18144665.93200001,223370767.171,241515433.103,-18144665.93199998
2024-07-15,251502491.83699998,191589023.88,59913467.95699999,215681171.232,275594639.18899995,-59913467.95699996
2024-07-16,135461893.68899998,129096070.45300001,6365823.235999972,190261206.961,196627030.197,-6365823.236000001
2024-07-17,203256348.615,180770547.458,22485801.157000005,276942389.924,299428191.08100003,-22485801.157000005
2024-07-18,194153962.121,193920211.996,233750.125,279151245.72700006,279384995.852,-233750.1249999404
2024-07-21,102645452.78999999,80389795.78299999,22255657.007,157659343.929,179915000.936,-22255657.007
2024-07-22,150144404.494,109235405.01499999,40908999.479,155861770.17999998,196770769.659,-40908999.47900003
2024-07-23,147018212.424,98770281.677,48247930.746999994,144823195.578,193071126.325,-48247930.74699998
2024-07-24,129636227.39199999,115506534.361,14129693.030999988,170447262.17000002,184576955.20099998,-14129693.030999959
2024-07-25,111184244.928,139413863.082,-28229618.153999984,190806367.19300002,162576749.03900003,28229618.153999984
2024-07-28,70695000.815,76008994.329,-5313993.513999999,139067748.31699997,133753754.803,5313993.513999969
2024-07-29,144794829.183,144513292.813,281536.37000000477,214807246.724,215088783.09399998,-281536.36999997497
2024-07-30,119271831.64400002,106642347.71200001,12629483.932000011,166662231.399,179291715.331,-12629483.932000011
2024-07-31,262203010.03,233919640.327,28283369.70300001,142516189.139,170799558.842,-28283369.70300001
2024-08-01,118324453.23,126235223.60800001,-7910770.378000006,173680072.469,165769302.091,7910770.378000021
2024-08-04,105662665.64,132137352.01699999,-26474686.37699999,269098989.32500005,242624302.948,26474686.377000034
2024-08-05,209120139.74199998,334157093.285,-125036953.54300004,382261364.52,257224410.977,125036953.54299998
2024-08-06,145588934.448,180020854.49199998,-34431920.04399997,239384874.286,204952954.24199998,34431920.04400003
2024-08-07,140812079.43,138409389.971,2402689.459000021,234748549.972,237151239.431,-2402689.4589999914
2024-08-08,102588036.559,109649450.433,-7061413.873999998,141404765.34600002,134343351.47199997,7061413.874000043
2024-08-11,51987864.894,56060101.59700001,-4072236.703000009,170590231.059,166517994.356,4072236.7029999793
2024-08-12,90809271.211,92781825.53,-1972554.3190000057,168625116.44099998,166652562.122,1972554.318999976
2024-08-13,118425035.61199999,119173551.57699999,-748515.9650000036,188186579.292,187438063.327,748515.9650000036
2024-08-14,127440844.57200001,117323817.139,10117027.433000013,168176978.144,178294005.57700002,-10117027.433000028
2024-08-15,104708535.016,98615895.463,6092639.553000003,174360378.03500003,180453017.58800003,-6092639.553000003
2024-08-18,65300223.81400001,64805898.061,494325.75300001353,166585387.22399998,167079712.977,-494325.753000021
2024-08-19,85068880.545,83034859.353,2034021.1920000017,133063357.578,135097378.77,-2034021.1920000166
2024-08-20,104441738.50299999,117100618.22399999,-12658879.721,176301895.31,163643015.589,12658879.721000016
2024-08-21,91952055.99599999,110166340.262,-18214284.266000003,185744362.144,167530077.878,18214284.266000003
