date,open,high,low,close,volume,value_traded,total_trades
2024-01-02,10830.630000000001,10830.630000000001,10674.23,10708.460000000001,189857743,576244640.053,18554
2024-01-03,10708.460000000001,10708.460000000001,10368.94,10385.56,198691055,595897544.801,19751
2024-01-04,10385.56,10452.42,10268.01,10433.85,145221743,451191215.908,17295
2024-01-07,10433.85,10510.06,10422.26,10443.84,146538155,378836409.781,13265
2024-01-08,10443.84,10483.15,10436.85,10483.15,140227970,401863830.239,17868
2024-01-09,10483.15,10502.58,10414.91,10416.52,130429709,379700115.533,15193
2024-01-10,10416.52,10452.65,10375.2,10444.880000000001,131844490,380632363.505,15296
2024-01-11,10444.880000000001,10527.0,10440.23,10465.74,133072889,451399468.956,13490
2024-01-14,10465.74,10540.67,10465.74,10509.85,153583043,372403772.765,11812
2024-01-15,10509.85,10552.95,10507.95,10533.74,150535356,477057427.557,16779
2024-01-16,10533.74,10547.9,10459.15,10498.31,132880221,449172219.853,14402
2024-01-17,10498.31,10529.31,10401.92,10401.92,117445623,475617376.668,14925
2024-01-18,10401.92,10447.02,10315.57,10318.74,332427085,1161987974.113,36592
2024-01-21,10318.74,10392.61,10282.710000000001,10290.630000000001,259513762,674448617.213,23689
2024-01-22,10290.630000000001,10404.300000000001,10290.630000000001,10369.56,366819778,1031772114.126,33674
2024-01-23,10369.56,10416.22,10361.7,10362.29,138829253,467980590.9,15013
2024-01-24,10362.29,10401.68,10345.48,10373.09,186570044,588416956.956,18342
2024-01-25,10373.09,10390.08,10343.93,10347.550000000001,147313194,439317783.808,15769
2024-01-28,10347.550000000001,10399.130000000001,10342.9,10347.210000000001,104734180,299432581.798,11208
2024-01-29,10347.210000000001,10371.85,10151.98,10151.98,142724857,459917449.111,17519
2024-01-30,10151.98,10215.1,10075.78,10109.86,143703958,482783755.84,17417
2024-01-31,10109.86,10166.550000000001,10040.49,10089.2,147219831,515528478.495,16114
2024-02-01,10089.2,10100.74,10014.89,10049.36,143105236,423632043.164,14310
2024-02-04,10049.36,10055.76,9984.24,10040.49,103802876,281314482.06,10310
2024-02-05,10040.49,10040.6,9851.08,9887.51,117289484,397742744.487,15675
2024-02-06,9887.51,9901.23,9818.16,9901.23,101361803,329901391.555,14799
2024-02-07,9901.23,9990.960000000001,9873.07,9990.14,149283863,488669291.862,18155
2024-02-08,9990.14,10064.99,9928.93,9960.7,146013402,454057455.38,17544
2024-02-11,9960.7,10134.72,9960.7,10044.29,98502099,341162682.483,11846
2024-02-12,10044.29,10101.880000000001,10016.73,10093.19,183953654,597553119.121,19006
2024-02-14,10093.19,10212.26,10081.92,10212.26,162820049,553312744.402,21260
2024-02-15,10212.26,10252.53,10118.95,10154.52,207873885,575853231.2,21775
2024-02-18,10154.52,10227.34,10146.77,10211.45,196259137,454527544.043,17377
2024-02-19,10211.45,10310.81,10169.79,10299.800000000001,219382002,601587832.354,24876
2024-02-20,10299.800000000001,10310.67,10262.23,10308.49,172133604,482260118.028,18185
2024-02-21,10308.49,10365.23,10277.49,10365.23,152609434,453637709.174,17760
2024-02-22,10365.23,10365.23,10257.28,10303.24,171348178,515416037.39,19863
2024-02-25,10303.24,10451.81,10301.27,10410.29,272797623,745762910.422,20447
2024-02-26,10410.29,10459.99,10398.16,10449.14,216022548,620706873.038,22151
2024-02-27,10449.14,10496.94,10414.9,10496.94,282655602,716928268.246,22043
2024-02-28,10496.94,10507.65,10465.51,10487.1,223178484,627452947.225,21796
2024-02-29,10487.1,10520.52,10452.210000000001,10474.91,417338393,1519782702.772,20366
2024-03-04,10474.91,10529.57,10452.2,10473.04,194396722,546629018.778,19217
2024-03-05,10473.04,10481.77,10363.72,10384.550000000001,177376700,544682951.661,17646
2024-03-06,10384.550000000001,10384.550000000001,10281.62,10303.52,142467644,480737973.81,15225
2024-03-07,10303.52,10303.52,10154.12,10230.22,130840187,439321800.074,14582
2024-03-10,10230.22,10260.15,10219.04,10235.1,125804134,367391467.093,10771
2024-03-11,10235.1,10235.32,10183.64,10190.79,117623428,388241137.141,13740
2024-03-12,10190.79,10233.43,10185.95,10190.65,135453573,384804063.055,14524
2024-03-13,10190.65,10246.130000000001,10183.06,10192.130000000001,172154421,432075820.627,16273
2024-03-14,10192.130000000001,10283.35,10192.130000000001,10256.050000000001,343188227,1233007212.721,21227
2024-03-17,10256.050000000001,10287.73,10207.67,10257.98,117816961,332343798.514,10565
2024-03-18,10257.98,10293.06,10224.460000000001,10259.95,175472506,495705152.429,15498
2024-03-19,10259.95,10303.85,10224.28,10227.62,142414496,430125764.531,13728
2024-03-20,10227.62,10246.0,10200.880000000001,10203.460000000001,116064459,341570212.653,13833
2024-03-21,10203.460000000001,10250.23,10187.4,10211.22,136065067,386916909.183,13601
2024-03-24,10211.22,10258.36,10211.22,10214.75,105744949,275257956.51,9725
2024-03-25,10214.75,10216.41,10052.62,10092.68,136240475,461716179.314,16355
2024-03-26,10092.68,10103.24,10026.1,10026.1,177457986,584669268.741,15004
